$uri,Identifier,Title,http://jazz.net/ns/rm/navigation#parent
https://homie.byte.fi:9443/rm/resources/MD_EwmZspFnEe-Oy5UELFqR4Q,363,Use Case Template,/Module Template
https://homie.byte.fi:9443/rm/resources/MD_EwmZs5FnEe-Oy5UELFqR4Q,364,Stakeholder Template,/
https://homie.byte.fi:9443/rm/resources/MD_EwmZtJFnEe-Oy5UELFqR4Q,365,Systems Template,/
https://homie.byte.fi:9443/rm/resources/TX_Ew4GkJFnEe-Oy5UELFqR4Q,366,Behavioural Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVm5FnEe-Oy5UELFqR4Q,366,Behavioural Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew4tkJFnEe-Oy5UELFqR4Q,367,"Definitions Acronyms, and Abbreviations",/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVhJFnEe-Oy5UELFqR4Q,367,"Definitions Acronyms, and Abbreviations",
https://homie.byte.fi:9443/rm/resources/TX_Ew5UoJFnEe-Oy5UELFqR4Q,368,Integration Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVl5FnEe-Oy5UELFqR4Q,368,Integration Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew5UopFnEe-Oy5UELFqR4Q,369,Capacity Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVlJFnEe-Oy5UELFqR4Q,369,Capacity Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew5UoZFnEe-Oy5UELFqR4Q,370,Validation Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrOZFnEe-Oy5UELFqR4Q,370,Validation Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew57sJFnEe-Oy5UELFqR4Q,371,Failed End Condition,/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_Ewwxy5FnEe-Oy5UELFqR4Q,371,Failed End Condition,
https://homie.byte.fi:9443/rm/resources/TX_Ew57sZFnEe-Oy5UELFqR4Q,372,"<Primary Actor>, <Secondary Actor>, e.g., Astronaut, Mission Control, The Press (use Glossary Terms for actors throughout use case text)",/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwwxzpFnEe-Oy5UELFqR4Q,372,"<Primary Actor>, <Secondary Actor>, e.g., Astronaut, Mission Control, The Press (use Glossary Terms for actors throughout use case text)",
https://homie.byte.fi:9443/rm/resources/TX_Ew6iwJFnEe-Oy5UELFqR4Q,373,User End States,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrJJFnEe-Oy5UELFqR4Q,373,User End States,
https://homie.byte.fi:9443/rm/resources/TX_Ew7J0pFnEe-Oy5UELFqR4Q,374,Legacy Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVqZFnEe-Oy5UELFqR4Q,374,Legacy Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew6iwZFnEe-Oy5UELFqR4Q,375,Operational Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVmJFnEe-Oy5UELFqR4Q,375,Operational Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew7J0JFnEe-Oy5UELFqR4Q,376,<Stakeholder/System>,/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwwxxpFnEe-Oy5UELFqR4Q,376,<Stakeholder/System>,
https://homie.byte.fi:9443/rm/resources/TX_Ew7J0ZFnEe-Oy5UELFqR4Q,377,"<e.g., There is enough fuel in the rocket>",/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwwxyJFnEe-Oy5UELFqR4Q,377,"<e.g., There is enough fuel in the rocket>",
https://homie.byte.fi:9443/rm/resources/TX_Ew7w4ZFnEe-Oy5UELFqR4Q,378,Interfacing Systems Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrK5FnEe-Oy5UELFqR4Q,378,Interfacing Systems Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew7w4JFnEe-Oy5UELFqR4Q,379,Reliability Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVpZFnEe-Oy5UELFqR4Q,379,Reliability Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew8X8JFnEe-Oy5UELFqR4Q,380,Scope & Level,/Base Artifacts/Module Template/Use Case Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwwxxZFnEe-Oy5UELFqR4Q,380,Scope & Level,
https://homie.byte.fi:9443/rm/resources/TX_Ew8_AJFnEe-Oy5UELFqR4Q,381,Environmental Considerations,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVi5FnEe-Oy5UELFqR4Q,381,Environmental Considerations,
https://homie.byte.fi:9443/rm/resources/TX_Ew8_AZFnEe-Oy5UELFqR4Q,382,Constraint Requirements,/Base Artifacts/Stakeholder Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwqrNpFnEe-Oy5UELFqR4Q,382,Constraint Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew8X8ZFnEe-Oy5UELFqR4Q,383,Reliability Requirements,/Base Artifacts/Systems Template artifacts
https://homie.byte.fi:9443/rm/resources/BI_EwuVk5FnEe-Oy5UELFqR4Q,383,Reliability Requirements,
https://homie.byte.fi:9443/rm/resources/TX_Ew8_ApFnEe-Oy5UELFqR4Q,384,Main Flow,/Base Artifacts/Module Template/Use Case Template artifacts
